Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
2359777,FATA FOOD MART,,2712420,,All,5217 W NORTH AVE ,CHICAGO,IL,60639,02/03/2020,License,Not Ready,,41.90938613398594,-87.75623831038067,"(-87.75623831038067, 41.90938613398594)"
2359878,BLOWING SMOKE BBQ,BLOWING SMOKE BBQ,2712887,Restaurant,Risk 1 (High),1358 E 75TH ST ,CHICAGO,IL,60619,02/04/2020,License,Not Ready,,41.75883291966931,-87.59086222278542,"(-87.59086222278542, 41.75883291966931)"
2359865,LANS,LANS,1969396,Restaurant,Risk 1 (High),1507 N SEDGWICK ST ,CHICAGO,IL,60610,02/04/2020,Canvass,No Entry,,41.9094789093631,-87.63839445280031,"(-87.63839445280031, 41.9094789093631)"
2359868,"SAM'S CHICKEN AND RIBS, PIZZA","SAM'S CHICKEN AND RIBS, PIZZA",2492776,Restaurant,Risk 1 (High),3220 N KIMBALL ,CHICAGO,IL,60618,02/04/2020,Canvass,Fail,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: NO PERSON IN CHARGE ON SITE DURING INITIAL INSPECTION WITH A CITY OF CHICAGO SANITATION CERTIFICATE. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO CITY OF CHICAGO CERTIFIED MANAGER ON SITE DURING THE INITIAL INSPECTION WHILE BUSINESS WAS OPEN AND OPERATING. MANAGER WAS TELEPHONED AND ARRIVED APPROXIMATELY 40 MINUTES LATER. PRIORITY FOUNDATION VIOLATION 7-38-012 CITATION ISSUED. | 3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO WRITTEN EMPLOYEE HEALTH POLICY ON SITE FOR ALL EMPLOYEES. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-010 CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO WRITTEN CLEANING PROCEDURE FOR A VOMITING OR DIARRHEA EVENT OR ALL REQUIRED EQUIPMENT. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: ALL BULK FOOD CONTAINERS MUST BE LABELED WITH PRODUCT COMMON NAME SUCH AS FLOUR BATTER. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: MUST NOT STORE KNIVES OR ANY MULTI USE UTENSILS IN STANDING SOLUTION. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED MISSING COLD AND HOT WATER HANDLES ON THE TWO FAUCETS OF THE THREE COMPARTMENT SINK. WATER ONLY ABLE TO BE PROVIDED BY TURNING ON FROM THE MAIN VALVES UNDER THE SINK. MUST PROVIDE HOT AND COLD WATER HANDLES AND WATER AVAILABLE FROM BOTH FAUCETS OF THE SINK. PRIORITY FOUNDATION VIOLATION 7-38-025 CITATION ISSUED. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INTERIOR OF THE OVEN FOUND DIRTY WITH EXCESSIVE FOOD DEBRIS AND GREASE. MUST CLEAN AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: EXTREMELY DIRTY FOOD ENCRUSTED WALL MOUNTED FRY SLICER. MUST CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: BROKEN/MISSING TOILET TANK IN THE EMPLOYEE WASHROOM. UNABLE TO CLEAN. MUST REPLACE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: RAW WOOD USED AS A WALL MOUNT FOR SHELVING ABOVE THE THREE COMPARTMENT SINK. MUST PAINT/SEAL TO BE NON-ABSORBENT, CLEANABLE AND SMOOTH. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MISSING LIGHT SHIELDS AT THE ENTRANCE TO THE WALK-IN FREEZER AND ABOVE THE METAL PREP TABLE. MUST REPLACE/PROVIDE. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: NO PROOF OF FOOD HANDLER TRAINING OR CERTIFICATE FOR EMPLOYEE ON SITE DURING THE INSPECTION. MUST PROVIDE FOR ALL EMPLOYEES. | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: PREVIOUS CORE VIOLATION NOT CORRECTED FROM 1-8-19 #2244175. #58-: NO FOOD ALLERGEN TRAINING CERTIFICATES ON PREMISES. INSTRUCTED MANAGER ALL CITY OF CHICAGO CERTIFIED FOOD MANAGERS MUST HAVE FOOD ALLERGEN TRAINING CERTIFICATES ON PREMISES.PRIORITY FOUNDATION VIOLATION 7-42-090 CITATION ISSUED. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: SUMMARY REPORT FROM 1-8-19 NOT POSTED VISIBLE TO CUSTOMERS. SUMMARY POSTED IN REAR KITCHEN, NO CUSTOMER ACCESS OR VISIBILITY. PRIORITY FOUNDATION VIOLATION 7-42-010(B) CITATION ISSUED.",41.939907233250814,-87.71266918212199,"(-87.71266918212199, 41.939907233250814)"
2359864,JIBARITO'S Y MAS,JIBARITO'S Y MAS,2522235,Restaurant,Risk 1 (High),3400 W FULLERTON AVE ,CHICAGO,IL,60647,02/04/2020,Complaint,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: CLEAN THE TOP AND BOTTOM SHELVES OF THE PREP TABLES, STOVE, WIRE STORAGE RACKS IN THE WALK-IN COOLER AND THE CHEST FREEZERS IN THE BASEMENT. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLEAN THE FLOOR IN THE BASEMENT ESPECIALLY AROUND THE ICE MACHINE.",41.92476960356357,-87.71216993271977,"(-87.71216993271977, 41.92476960356357)"
2359852,TASTY FAST FOOD & GROCERY,TASTY FAST FOOD & GROCERY,2559536,Restaurant,Risk 1 (High),6645 S HALSTED ST ,CHICAGO,IL,60621,02/04/2020,Complaint,Fail,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO SIGNED EMPLOYEES HEALTH POLICIES.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-010) | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN-UP POLICY PROCEDURE AND ITEMS FOR VOMITING AND DIARRHEA.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-005) | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO PROBE THERMOMETER FOR TAKING FOOD TEMPERATURES.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-005) | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL FOOD STORAGE CONTAINERS WHEN FOOD IS NOT IN ORIGINAL PACKAGE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED EVIDENCE OF APPX. 100 OR MORE MICE AND RAT DROPPINGS AND A STRONG SMELL OF URINE ON FLOOR NEXT TO FRONT REACH IN GLASS COOLER,AT MOTOR OF DELI DISPLAY UNIT,ON CARDBOARD SHELVING UNITS,ON FLOOR IN BETWEEN CLUTTER IN SIDE STORAGE ROOM,ON FLOOR NEXT TO REACH IN COOLER ,ON FLOOR ALONG WALL BASE UNDER T.V,INSIDE OF FRYER CABINETS,UNDER GRILL TABLE,BEHIND ,UNDER AND ON SHELVING UNIT IN REAR STORAGE AREA,IN BETWEEN ALL CHEST FREEZERS.MUST REMOVE DROPPINGS.CLEAN AND SANITIZE AREAS.RECOMMENDED TO HAVE A PEST CONTROL OPERATOR TO SERVICE PREMISES ON OR AFTER 2/4/20.(PRIORITY FOUNDATION 7-38-020(A) | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED AN APPX. '1/2-3/4' GAP ALONG BOTTOM OF EAR DOOR .MUST MAKE DOOR TIGHT FITTING. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: MUST STORE SOILED WIPING CLOTHS IN A SANITIZING SOLUTION. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST PROVIDE SINK STOPPERS FOR 3- COMPARTMENT SINK. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST CLEAN DEBRIS BUILD UP FROM MICROWAVE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN DEBRIS BUILD UP FROM MEAT SLICER,KNIFE CADDY. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: MUST REPAIR OR REPLACE LEAKY FAUCET AT 3- COMPARTMENT SINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REPAIR OR REPLACE MISSING AND DAMAGED FLOOR TILES THROUGHOUT PREMISES,LOOSE WALL OUTLETS.MUST SEAL GAPS IN WALL BASES THROUGHOUT AND HOLE IN LOWER HALF WALL IN PREP AREA AND DAMAGED WALL IN TOILET ROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REMOVE TAPE LINED UP ON WALLS IN SIDE STORAGE AREA AND MAKE SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN EXCESSIVE FOOD DEBRIS AND DIRT FROM WALLS,CEILINGS THROUGHOUT PREMISES. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MUST PROVIDE ADEQUATE LIGHTING AND LIGHT SHIELDS THROUGHOUT PREP AREAS AND STORAGE . | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED NO FOOD ALLERGEN TRAINING FOR FOOD MANAGER.MUST PROVIDE AND MAINTAIN. | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: PREVIOUS CORE VIOLATIONS FROM REPORT #2243716 12/19/18 NOT CORRECTED #36- OBSERVED FACILITY MISSING THERMOMETERS FOR REACH IN COOLER FOR FACILITY OR IN DISREPAIR. INFORMED PERSON IN CHARGE TO OBTAIN AND MAINTAIN THERMOMETERS FOR UNITS.#37- OBSERVED CHICKEN FLOUR NOT PROPERLY LABELED IN PREP AREA. INSTRUCTED MANAGER TO LABEL ALL BULK CONTAINERS. #39-OBSERVED FACILITY UTILIZED CARDBOARD FOR LINING OF CONTAINERS, PREP TABLES AND REACH IN COOLERS. MUST REMOVE CARDBOARD AND MAINTAIN.#44- OBSERVED ITEMS STORED ON FLOOR THROUGH OUT FACILITY (SINGLE USE ITEMS IN BOXES) FOOD ITEMS ETC.. MUST STORE ITEMS 6 INCHES FROM FLOOR.#47- OBSERVED CUTTING BOARDS IN FACILITY HEAVILY SCORED, DARK GROOVES AND FOOD DEBRIS. MUST REPLACE AND MAINTAIN. #47-OBSERVED INSIDE OF REACH IN FREEZER WITH ACCUMULATION OF ICE BUILD UP INSIDE. MUST DETAIL CLEAN, DEFROST AND MAINTAIN.#49- OBSERVED ACCUMULATED DUST AND DEBRIS THROUGHOUT THE FACILITY ON VARIOUS SHELVES AND COUNTERS. INSTRUCTED TO CLEAN AND SANITIZE ALL AREAS.#49- 4-602.13  OBSERVED GREASE AND DUST BUILDUP ON FRYERS, OVEN, GRILL, PREP TABLES, ETC. ALL FOOD AND NON-FOOD CONTACT SURFACES SHALL BE KEPT FREE OF ACCUMULATION OF DUST, DIRT, AND FOOD DEBRIS.#53- OBSERVED FACILITY TOILET AND SINK WITH ACCUMULATION OF DEBRIS AND FECES ON IT. MUST DETAIL CLEAN ENTIRE RESTROOM.#55-  OBSERVED ACCUMULATION OF UNNECESSARY ITEMS AND ARTICLES AND EQUIPMENT IN FACILITY FRONT PREP AREA; EXCESSIVE AND IMPROPER STORAGE IN REAR STORAGE AREA AND FOOD PREP AREA; CREATING HARBORAGE CONDITIONS FOR RODENTS. INSTRUCTED PERSON IN CHARGE TO REMOVE EXCESS STORAGE NOT NEEDED ON A DAILY BASIS, REMOVE OLD UNUSED EQUIPMENT, PROPERLY STORE ALL ITEMS SIX INCHES FROM FLOOR AND WALL AND DETAIL CLEAN THROUGHOUT ENTIRE FACILITY.#56- OBSERVED HOOD NOT CLEANED ACCUMULATION OF GREASE, FOOD DEBRIS, AND DUST IN FRONT PREP AREA. MUST CLEAN AND MAINTAIN.#57-  OBSERVED FACILITY MISSING REQUIRED FOOD HANDLER TRAINING CERTIFICATION FOR ALL FOOD HANDLER EMPLOYEES. FACILITY MUST OBTAIN AND MAINTAIN ALL REQUIRED FOOD HANDLER TRAINING CERTIFICATION FOR ALL FOOD HANDLER EMPLOYEES ON SITE FOR INSPECTION REVIEW.(PRIORITY FOUNDATION 7-42-090)",41.77296602950113,-87.6444630706756,"(-87.6444630706756, 41.77296602950113)"
2359859,SUBWAY,SUBWAY,2560647,Restaurant,Risk 1 (High),3924 S ARCHER AVE ,CHICAGO,IL,60632,02/04/2020,Canvass,Pass w/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED PROCEDURES AND A CLEAN UP KIT FOR VOMIT AND DIARRHEA, BUT MISSING DISINFECTANT RATED FOR NOROVIRUS,INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION 7-38-005, NO CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE WALL IN THE REAR PREP/DISH AREA NOT CLEAN, INSTRUCTED TO REMOVE ALL FOOD SPLASHES FROM WALL.",41.822408640659376,-87.69091192385886,"(-87.69091192385886, 41.822408640659376)"
2359849,Rosebud Steakhouse,Rosebud Steakhouse,1043008,Restaurant,Risk 1 (High),192 E WALTON ST ,CHICAGO,IL,60611,02/04/2020,Canvass Re-Inspection,Pass,,41.900150068517426,-87.62214674513696,"(-87.62214674513696, 41.900150068517426)"
2359843,SEE THRU CHINESE KITCHEN,SEE THRU CHINESE KITCHEN,1170990,Restaurant,Risk 1 (High),4318 S ASHLAND AVE ,CHICAGO,IL,60609,02/04/2020,Canvass,Fail,"41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: NO WIPING CLOTHS STORED IN SANITIZING SOLUTION FOUND AT TIME OF INSPECTION. INSTRUCTED TO PROVIDE AND MAINTAIN. | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: OBSERVED WASTE WATER(SEWAGE) BACKING UP FROM FLOOR DRAIN ONTO FLOOR IN PREP AREA AT REAR WHEN WATER TURNED ON AT HAND SINKS. ALSO, FLOOR DRAIN CLOGGED AND WATER NOT DRAINING PROPERLY.  MUST REPAIR. PRIORITY VIOLATION 7-38-030(C). | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST DETAIL CLEAN/SANITIZE FLOOR THROUGHOUT PREP AREA.",41.81527155655249,-87.66528690980383,"(-87.66528690980383, 41.81527155655249)"
2359825,ROYAL INDIAN GRILL INC.,ROYAL INDIAN GRILL,2299016,Restaurant,Risk 1 (High),3223 N CLARK ST ,CHICAGO,IL,60657,02/04/2020,Canvass Re-Inspection,Pass,,41.940634346439296,-87.65105735655327,"(-87.65105735655327, 41.940634346439296)"
