No.,ITEMS,BRAND,SIZE,Outlet,Town,Region,Price
15,COOKING MARGARINE,Golden Ray,227g,Low Cost Supermarket S.M.R.,Cunupia,Central,10.95
18,TABLE MARGARINE,Flora,445g,Low Cost Supermarket S.M.R.,Cunupia,Central,20.95
19,EGGS,Large,1 Doz,Low Cost Supermarket S.M.R.,Cunupia,Central,18.95
20,LIQUID MILK (Full Cream),Nestle,1L,Low Cost Supermarket S.M.R.,Cunupia,Central,11.95
23,POWDERED MILK,Dairy Dairy,225g,Low Cost Supermarket S.M.R.,Cunupia,Central,16.45
33,FLOUR,Ibis,2kg,Low Cost Supermarket S.M.R.,Cunupia,Central,11.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Low Cost Supermarket S.M.R.,Cunupia,Central,12.95
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Low Cost Supermarket S.M.R.,Cunupia,Central,23.95
71,TOILET SOAP,Refresh,3pk,Low Cost Supermarket S.M.R.,Cunupia,Central,14.95
72,TOOTHPASTE,Colgate,170g,Low Cost Supermarket S.M.R.,Cunupia,Central,14.95
73,DISHWASHING LIQUID,Squeezy,725ml,Low Cost Supermarket S.M.R.,Cunupia,Central,14.95
74,SOAP POWDER,Breeze Multi Active,900g,Low Cost Supermarket S.M.R.,Cunupia,Central,24.95
75,SOAP POWDER,Radiante,875g,Low Cost Supermarket S.M.R.,Cunupia,Central,13.45
82,CORNED BEEF,Target,340g,Low Cost Supermarket S.M.R.,Cunupia,Central,13.95
84,INSTANT CHOCOLATE,Nesquik,500g,Low Cost Supermarket S.M.R.,Cunupia,Central,19.95
91,MAUBY,Matouk’s,750ml,Low Cost Supermarket S.M.R.,Cunupia,Central,13.95
95,ORANGE JUICE,Trinidad Citrus,19 oz,Low Cost Supermarket S.M.R.,Cunupia,Central,10.95
105,CORN FLAKES (Local),Sunshine,18 oz,Low Cost Supermarket S.M.R.,Cunupia,Central,25.95
15,COOKING MARGARINE,Golden Ray,227g,One Plus One,Cunupia,Central,13
18,TABLE MARGARINE,Flora,445g,One Plus One,Cunupia,Central,23
19,EGGS,Large,1 Doz,One Plus One,Cunupia,Central,22.5
